Code,Name,Image,ac_sale,ac_cost,ac_stock,ac_stock_adj,ac_cost_variant,ac_purchase
Fitting Compression,Fitting Compressionឧបករណ៏មួល,c1.png,410101,500101,100430,500107,500108,100430
Fitting Conduit,Fitting Conduitឧបករណ៏ខ្សែភ្លើង,c1.png,410101,500101,100430,500107,500108,100430
Fitting Lesso,Fitting Lessoឧបករណ៏,c1.png,410101,500101,100430,500107,500108,100430
Fitting Minisprinkler,Fitting Minisprinklerឧបករណ៏ក្បាលសាចទឹក,c1.png,410101,500101,100430,500107,500108,100430
Fitting PPR,Fitting PPRឧបករណ៏ PPR,c1.png,410101,500101,100430,500107,500108,100430
Fitting PVC ,Fitting PVCឧបករណ៏PVC,c1.png,410101,500101,100430,500107,500108,100430
Fitting TAP,Fitting TAPឧបករណ៏,c1.png,410101,500101,100430,500107,500108,100430
HDPE PIPE CONDUIT,HDPE PIPE CONDUITទុយោខ្សែភ្លើង,c1.png,410101,500101,100430,500107,500108,100430
HDPE PIPE ROLL,HDPE PIPE ROLLទុយោកង,c1.png,410101,500101,100430,500107,500108,100430
HDPE PIPE TAP,HDPE PIPE TAPទុយោខ្មៅ,c1.png,410101,500101,100430,500107,500108,100430
PPR PIPE ,PPR PIPE ទុយោPPR,c1.png,410101,500101,100430,500107,500108,100430
PVC Pipe ,PVC Pipe ទុយោខៀវ ,c1.png,410101,500101,100430,500107,500108,100430
SUPER PRODUCT,SUPER PRODUCTឧបករណ៏កសិកម្ម,c1.png,410101,500101,100430,500107,500108,100430
